Dates Flux Xpos Ypos
2456777.727371035 6621.164 484.365 537.198
2456777.747802731 6621.653 484.339 537.178
2456777.768234327 6612.623 484.27 537.121
2456777.788665824 6599.522 484.646 537.368
2456777.80909752 6639.11 484.742 537.303
2456777.829529117 6638.039 484.681 537.285
2456777.849960614 6607.849 484.646 537.243
2456777.87039231 6607.582 484.53 537.274
2456777.890823907 6622.448 484.485 537.248
2456777.911255504 6599.961 484.405 537.224
2456777.931687101 6591.742 484.358 537.185
2456777.952118698 6601.329 484.326 537.168
2456777.972550394 6607.813 484.251 537.117
2456777.992981992 6617.284 484.2 537.089
2456778.013413489 6633.863 484.153 537.057
2456778.033845186 6560.152 484.508 537.256
2456778.054276783 6609.539 484.524 537.284
2456778.074708281 6615.069 484.48 537.252
2456778.095139978 6601.709 484.437 537.24
2456778.115571576 6594.765 484.363 537.201
2456778.136003073 6586.398 484.332 537.163
2456778.156434771 6592.004 484.288 537.141
2456778.176866268 6594.496 484.217 537.085
2456778.197297966 6624.47 484.167 537.065
2456778.217729564 6634.706 484.118 537.026
2456778.238161062 6659.042 484.052 536.973
2456778.25859276 6657.153 484.011 536.952
2456778.279024358 6536.683 484.492 537.268
2456778.299455856 6597.462 484.508 537.268
2456778.319887554 6578.306 484.448 537.241
2456778.340319152 6585.853 484.39 537.211
2456778.360750651 6581.71 484.328 537.174
2456778.381182349 6591.152 484.27 537.124
2456778.401613947 6609.142 484.228 537.091
2456778.422045646 6609.111 484.165 537.053
2456778.442477145 6642.447 484.084 537.003
2456778.462908743 6663.84 484.054 536.984
2456778.483340442 6658.651 483.99 536.94
2456778.503771941 6643.529 483.924 536.896
2456778.52420354 6481.512 484.579 537.313
2456778.544635239 6594.073 484.725 537.293
2456778.565066838 6604.252 484.649 537.241
2456778.585498337 6588.807 484.505 537.278
2456778.605930036 6597.086 484.465 537.245
2456778.626361636 6590.253 484.377 537.193
2456778.646793235 6586.822 484.314 537.167
2456778.667224834 6590.805 484.274 537.132
2456778.687656434 6611.669 484.189 537.066
2456778.708088133 6649.224 484.134 537.033
2456778.728519633 6651.099 484.089 537.0
